Training Start, luck bless me, plz!
{
    "output_model": "varmisuse",
    "max_variable_candidates": 5,
    "result_dir": "trained_models/",
    "load_model_file": null,
    "backbone_model": "resgagn",
    "optimizer": "Adam",
    "lr": 0.001,
    "lr_deduce_per_epoch": 10,
    "max_epochs": 1500,
    "cur_epoch": 1,
    "batch_size": 64,
    "dropout_rate": 0.0,
    "h_features": 128,
    "out_features": 128,
    "graph_node_max_num_chars": 19,
    "max_node_per_graph": 50,
    "device": "cuda",
    "slice_edge_type": [
        0,
        1,
        2,
        3,
        4,
        5,
        6,
        7,
        8
    ],
    "num_edge_types": 9,
    "train_data_dir": "data/csharp/train_data",
    "validate_data_dir": "data/csharp/validate_data",
    "dataset_name": "csharp",
    "value_dict_dir": "vocab_dict/python_terminal_dict_1k_value.json",
    "type_dict_dir": "vocab_dict/python_terminal_dict_1k_type.json",
    "dataset_num_workers": 0,
    "seed": 42,
    "slot_singal": "<SLOT>",
    "max_graph": 100000,
    "notes": "8layersresgagn2gatRelu",
    "train_data_nums": 9770,
    "valid_data_nums": 4285,
    "num_model_params": 1781744
}
== Epoch 1
Runing epoch 1 (training), batch 1 (has 64 graphs). Loss so far: 1.0642
Runing epoch 1 (training), batch 2 (has 64 graphs). Loss so far: 1.0373
Runing epoch 1 (training), batch 3 (has 64 graphs). Loss so far: 1.0208
Runing epoch 2 (training), batch 111 (has 64 graphs). Loss so far: 1.0543
Runing epoch 2 (training), batch 112 (has 64 graphs). Loss so far: 1.0538
Runing epoch 2 (training), batch 113 (has 64 graphs). Loss so far: 1.0543
Runing epoch 2 (training), batch 114 (has 64 graphs). Loss so far: 1.0545
Runing epoch 2 (training), batch 115 (has 64 graphs). Loss so far: 1.0543
Runing epoch 2 (training), batch 116 (has 64 graphs). Loss so far: 1.0545
Runing epoch 2 (training), batch 117 (has 64 graphs). Loss so far: 1.0538
Runing epoch 2 (training), batch 118 (has 64 graphs). Loss so far: 1.0537
Runing epoch 2 (training), batch 119 (has 64 graphs). Loss so far: 1.0534
Runing epoch 2 (training), batch 120 (has 64 graphs). Loss so far: 1.0523
Runing epoch 2 (training), batch 121 (has 64 graphs). Loss so far: 1.0510
Runing epoch 2 (training), batch 122 (has 64 graphs). Loss so far: 1.0513
Runing epoch 2 (training), batch 123 (has 64 graphs). Loss so far: 1.0511
Runing epoch 2 (training), batch 124 (has 64 graphs). Loss so far: 1.0466
Runing epoch 2 (training), batch 125 (has 64 graphs). Loss so far: 1.0401
Runing epoch 2 (training), batch 126 (has 64 graphs). Loss so far: 1.1471
Runing epoch 2 (training), batch 127 (has 64 graphs). Loss so far: 1.1782
Runing epoch 2 (training), batch 128 (has 64 graphs). Loss so far: 1.1753
Runing epoch 2 (training), batch 129 (has 64 graphs). Loss so far: 1.1726
Runing epoch 2 (training), batch 130 (has 64 graphs). Loss so far: 1.1703
Runing epoch 2 (training), batch 131 (has 64 graphs). Loss so far: 1.1722
Runing epoch 2 (training), batch 132 (has 64 graphs). Loss so far: 1.1741
Runing epoch 2 (training), batch 133 (has 64 graphs). Loss so far: 1.1751
Runing epoch 2 (training), batch 134 (has 64 graphs). Loss so far: 1.1743
Runing epoch 2 (training), batch 135 (has 64 graphs). Loss so far: 1.1734
Runing epoch 2 (training), batch 136 (has 64 graphs). Loss so far: 1.1725
Runing epoch 2 (training), batch 137 (has 64 graphs). Loss so far: 1.1714
Runing epoch 2 (training), batch 138 (has 64 graphs). Loss so far: 1.1719
Runing epoch 2 (training), batch 139 (has 64 graphs). Loss so far: 1.1705
Runing epoch 2 (training), batch 140 (has 64 graphs). Loss so far: 1.1697
Runing epoch 2 (training), batch 141 (has 64 graphs). Loss so far: 1.1689
Runing epoch 2 (training), batch 142 (has 64 graphs). Loss so far: 1.1675
Runing epoch 2 (training), batch 143 (has 64 graphs). Loss so far: 1.1664
Runing epoch 2 (training), batch 144 (has 64 graphs). Loss so far: 1.1658
Runing epoch 2 (training), batch 145 (has 64 graphs). Loss so far: 1.1651
Runing epoch 2 (training), batch 146 (has 64 graphs). Loss so far: 1.1636
Runing epoch 2 (training), batch 147 (has 64 graphs). Loss so far: 1.1624
Runing epoch 2 (training), batch 148 (has 64 graphs). Loss so far: 1.1617
Runing epoch 2 (training), batch 149 (has 64 graphs). Loss so far: 1.1612
Runing epoch 2 (training), batch 150 (has 64 graphs). Loss so far: 1.1604
Runing epoch 2 (training), batch 151 (has 64 graphs). Loss so far: 1.1596
Runing epoch 2 (training), batch 152 (has 64 graphs). Loss so far: 1.1589
Runing epoch 2 (training), batch 153 (has 42 graphs). Loss so far: 1.1584

[K Train: loss: 1.15839 || Top1 0.393 Top2 0.809 Top3 0.909 Top4 0.964 Top5 1.000 || graphs/sec: 31.85 | nodes/sec: 1592 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 2 (validation), batch 1 (has 64 graphs). Loss so far: 1.0654
Runing epoch 2 (validation), batch 2 (has 64 graphs). Loss so far: 1.0376
Runing epoch 2 (validation), batch 3 (has 64 graphs). Loss so far: 1.0549
Runing epoch 2 (validation), batch 4 (has 64 graphs). Loss so far: 1.0434
Runing epoch 2 (validation), batch 5 (has 64 graphs). Loss so far: 1.0493
Runing epoch 2 (validation), batch 6 (has 64 graphs). Loss so far: 1.0670
Runing epoch 2 (validation), batch 7 (has 64 graphs). Loss so far: 1.0574
Runing epoch 2 (validation), batch 8 (has 64 graphs). Loss so far: 1.0570
Runing epoch 2 (validation), batch 9 (has 64 graphs). Loss so far: 1.0514
Runing epoch 2 (validation), batch 10 (has 64 graphs). Loss so far: 1.0446
Runing epoch 2 (validation), batch 11 (has 64 graphs). Loss so far: 1.0526
Runing epoch 2 (validation), batch 12 (has 64 graphs). Loss so far: 1.0590
Runing epoch 2 (validation), batch 13 (has 64 graphs). Loss so far: 1.0509
Runing epoch 2 (validation), batch 14 (has 64 graphs). Loss so far: 1.0499
Runing epoch 2 (validation), batch 15 (has 64 graphs). Loss so far: 1.0439
Runing epoch 2 (validation), batch 16 (has 64 graphs). Loss so far: 1.0381
Runing epoch 2 (validation), batch 17 (has 64 graphs). Loss so far: 1.0339
Runing epoch 2 (validation), batch 18 (has 64 graphs). Loss so far: 1.0342
Runing epoch 2 (validation), batch 19 (has 64 graphs). Loss so far: 1.0328
Runing epoch 2 (validation), batch 20 (has 64 graphs). Loss so far: 1.0355
Runing epoch 2 (validation), batch 21 (has 64 graphs). Loss so far: 1.0334
Runing epoch 2 (validation), batch 22 (has 64 graphs). Loss so far: 1.0306
Runing epoch 2 (validation), batch 23 (has 64 graphs). Loss so far: 1.0324
Runing epoch 2 (validation), batch 24 (has 64 graphs). Loss so far: 1.0302
Runing epoch 2 (validation), batch 25 (has 64 graphs). Loss so far: 1.0335
Runing epoch 2 (validation), batch 26 (has 64 graphs). Loss so far: 1.0332
Runing epoch 2 (validation), batch 27 (has 64 graphs). Loss so far: 1.0319
Runing epoch 2 (validation), batch 28 (has 64 graphs). Loss so far: 1.0315
Runing epoch 2 (validation), batch 29 (has 64 graphs). Loss so far: 1.0327
Runing epoch 2 (validation), batch 30 (has 64 graphs). Loss so far: 1.0322
Runing epoch 2 (validation), batch 31 (has 64 graphs). Loss so far: 1.0328
Runing epoch 2 (validation), batch 32 (has 64 graphs). Loss so far: 1.0335
Runing epoch 2 (validation), batch 33 (has 64 graphs). Loss so far: 1.0333
Runing epoch 2 (validation), batch 34 (has 64 graphs). Loss so far: 1.0339
Runing epoch 2 (validation), batch 35 (has 64 graphs). Loss so far: 1.0345
Runing epoch 2 (validation), batch 36 (has 64 graphs). Loss so far: 1.0371
Runing epoch 2 (validation), batch 37 (has 64 graphs). Loss so far: 1.0366
Runing epoch 2 (validation), batch 38 (has 64 graphs). Loss so far: 1.0357
Runing epoch 2 (validation), batch 39 (has 64 graphs). Loss so far: 1.0355
Runing epoch 2 (validation), batch 40 (has 64 graphs). Loss so far: 1.0364
Runing epoch 2 (validation), batch 41 (has 64 graphs). Loss so far: 1.0368
Runing epoch 2 (validation), batch 42 (has 64 graphs). Loss so far: 1.0365
Runing epoch 2 (validation), batch 43 (has 64 graphs). Loss so far: 1.0391
Runing epoch 2 (validation), batch 44 (has 64 graphs). Loss so far: 1.0407
Runing epoch 2 (validation), batch 45 (has 64 graphs). Loss so far: 1.0396
Runing epoch 2 (validation), batch 46 (has 64 graphs). Loss so far: 1.0395
Runing epoch 2 (validation), batch 47 (has 64 graphs). Loss so far: 1.0421
Runing epoch 2 (validation), batch 48 (has 64 graphs). Loss so far: 1.0408
Runing epoch 2 (validation), batch 49 (has 64 graphs). Loss so far: 1.0433
Runing epoch 2 (validation), batch 50 (has 64 graphs). Loss so far: 1.0436
Runing epoch 2 (validation), batch 51 (has 64 graphs). Loss so far: 1.0446
Runing epoch 2 (validation), batch 52 (has 64 graphs). Loss so far: 1.0449
Runing epoch 2 (validation), batch 53 (has 64 graphs). Loss so far: 1.0459
Runing epoch 2 (validation), batch 54 (has 64 graphs). Loss so far: 1.0480
Runing epoch 2 (validation), batch 55 (has 64 graphs). Loss so far: 1.0477
Runing epoch 2 (validation), batch 56 (has 64 graphs). Loss so far: 1.0481
Runing epoch 2 (validation), batch 57 (has 64 graphs). Loss so far: 1.0469
Runing epoch 2 (validation), batch 58 (has 64 graphs). Loss so far: 1.0462
Runing epoch 2 (validation), batch 59 (has 64 graphs). Loss so far: 1.0474
Runing epoch 2 (validation), batch 60 (has 64 graphs). Loss so far: 1.0478
Runing epoch 2 (validation), batch 61 (has 64 graphs). Loss so far: 1.0478
Runing epoch 2 (validation), batch 62 (has 64 graphs). Loss so far: 1.0473
Runing epoch 2 (validation), batch 63 (has 64 graphs). Loss so far: 1.0469
Runing epoch 2 (validation), batch 64 (has 64 graphs). Loss so far: 1.0467
Runing epoch 2 (validation), batch 65 (has 64 graphs). Loss so far: 1.0477
Runing epoch 2 (validation), batch 66 (has 64 graphs). Loss so far: 1.0472
Runing epoch 2 (validation), batch 67 (has 61 graphs). Loss so far: 1.0475

[K valid: loss: 1.04752 || Top1 0.465 Top2 0.871 Top3 0.954 Top4 0.977 Top5 1.000 || graphs/sec: 64.94 | nodes/sec: 3247 | graphs: 4285 | nodes: 214250 | lr: 0.001000
  (Best epoch so far, target metric decreased to -0.46549 from -0.43424. Saving to 'trained_models/model_save/Single-Task_2022-05-23-16-02-41_32794_resgagn_resgagn_best_model')
== Epoch 3
Runing epoch 3 (training), batch 1 (has 64 graphs). Loss so far: 1.0222
Runing epoch 3 (training), batch 2 (has 64 graphs). Loss so far: 1.0012
Runing epoch 3 (training), batch 3 (has 64 graphs). Loss so far: 1.0209
Runing epoch 3 (training), batch 4 (has 64 graphs). Loss so far: 1.0335
Runing epoch 3 (training), batch 5 (has 64 graphs). Loss so far: 1.0247
Runing epoch 3 (training), batch 6 (has 64 graphs). Loss so far: 1.0339
Runing epoch 3 (training), batch 7 (has 64 graphs). Loss so far: 1.0368
Runing epoch 3 (training), batch 8 (has 64 graphs). Loss so far: 1.0419
Runing epoch 3 (training), batch 9 (has 64 graphs). Loss so far: 1.0463
Runing epoch 3 (training), batch 10 (has 64 graphs). Loss so far: 1.0493
Runing epoch 3 (training), batch 11 (has 64 graphs). Loss so far: 1.0421
Runing epoch 3 (training), batch 12 (has 64 graphs). Loss so far: 1.0425
Runing epoch 3 (training), batch 13 (has 64 graphs). Loss so far: 1.0470
Runing epoch 3 (training), batch 14 (has 64 graphs). Loss so far: 1.0477
Runing epoch 3 (training), batch 15 (has 64 graphs). Loss so far: 1.0473
Runing epoch 3 (training), batch 16 (has 64 graphs). Loss so far: 1.0472
Runing epoch 3 (training), batch 17 (has 64 graphs). Loss so far: 1.0462
Runing epoch 3 (training), batch 18 (has 64 graphs). Loss so far: 1.0441
Runing epoch 3 (training), batch 19 (has 64 graphs). Loss so far: 1.0427
Runing epoch 3 (training), batch 20 (has 64 graphs). Loss so far: 1.0411
Runing epoch 3 (training), batch 21 (has 64 graphs). Loss so far: 1.0400
Runing epoch 3 (training), batch 22 (has 64 graphs). Loss so far: 1.0400
Runing epoch 3 (training), batch 23 (has 64 graphs). Loss so far: 1.0399
Runing epoch 3 (training), batch 24 (has 64 graphs). Loss so far: 1.0416
Runing epoch 3 (training), batch 25 (has 64 graphs). Loss so far: 1.0407
Runing epoch 3 (training), batch 26 (has 64 graphs). Loss so far: 1.0415
Runing epoch 3 (training), batch 27 (has 64 graphs). Loss so far: 1.0420
Runing epoch 3 (training), batch 28 (has 64 graphs). Loss so far: 1.0426
Runing epoch 3 (training), batch 29 (has 64 graphs). Loss so far: 1.0431
Runing epoch 3 (training), batch 30 (has 64 graphs). Loss so far: 1.0442
Runing epoch 3 (training), batch 31 (has 64 graphs). Loss so far: 1.0427
Runing epoch 3 (training), batch 32 (has 64 graphs). Loss so far: 1.0443
Runing epoch 3 (training), batch 33 (has 64 graphs). Loss so far: 1.0447
Runing epoch 3 (training), batch 34 (has 64 graphs). Loss so far: 1.0455
Runing epoch 3 (training), batch 35 (has 64 graphs). Loss so far: 1.0461
Runing epoch 3 (training), batch 36 (has 64 graphs). Loss so far: 1.0475
Runing epoch 3 (training), batch 37 (has 64 graphs). Loss so far: 1.0480
Runing epoch 3 (training), batch 38 (has 64 graphs). Loss so far: 1.0481
Runing epoch 3 (training), batch 39 (has 64 graphs). Loss so far: 1.0487
Runing epoch 3 (training), batch 40 (has 64 graphs). Loss so far: 1.0498
Runing epoch 3 (training), batch 41 (has 64 graphs). Loss so far: 1.0520
Runing epoch 3 (training), batch 42 (has 64 graphs). Loss so far: 1.0522
Runing epoch 3 (training), batch 43 (has 64 graphs). Loss so far: 1.0547
Runing epoch 3 (training), batch 44 (has 64 graphs). Loss so far: 1.0519
Runing epoch 3 (training), batch 45 (has 64 graphs). Loss so far: 1.0507
Runing epoch 3 (training), batch 46 (has 64 graphs). Loss so far: 1.0515
Runing epoch 3 (training), batch 47 (has 64 graphs). Loss so far: 1.0505
Runing epoch 3 (training), batch 48 (has 64 graphs). Loss so far: 1.0520
Runing epoch 3 (training), batch 49 (has 64 graphs). Loss so far: 1.0537
Runing epoch 3 (training), batch 50 (has 64 graphs). Loss so far: 1.0525
Runing epoch 3 (training), batch 51 (has 64 graphs). Loss so far: 1.0519
Runing epoch 3 (training), batch 52 (has 64 graphs). Loss so far: 1.0524
Runing epoch 3 (training), batch 53 (has 64 graphs). Loss so far: 1.0519
Runing epoch 3 (training), batch 54 (has 64 graphs). Loss so far: 1.0522
Runing epoch 3 (training), batch 55 (has 64 graphs). Loss so far: 1.0527
Runing epoch 3 (training), batch 56 (has 64 graphs). Loss so far: 1.0517
Runing epoch 3 (training), batch 57 (has 64 graphs). Loss so far: 1.0513
Runing epoch 3 (training), batch 58 (has 64 graphs). Loss so far: 1.0519
Runing epoch 3 (training), batch 59 (has 64 graphs). Loss so far: 1.0501
Runing epoch 3 (training), batch 60 (has 64 graphs). Loss so far: 1.0496
Runing epoch 3 (training), batch 61 (has 64 graphs). Loss so far: 1.0508
Runing epoch 3 (training), batch 62 (has 64 graphs). Loss so far: 1.0520
Runing epoch 3 (training), batch 63 (has 64 graphs). Loss so far: 1.0511
Runing epoch 3 (training), batch 64 (has 64 graphs). Loss so far: 1.0511
Runing epoch 3 (training), batch 65 (has 64 graphs). Loss so far: 1.0502
Runing epoch 3 (training), batch 66 (has 64 graphs). Loss so far: 1.0494
Runing epoch 3 (training), batch 67 (has 64 graphs). Loss so far: 1.0485
Runing epoch 3 (training), batch 68 (has 64 graphs). Loss so far: 1.0472
Runing epoch 3 (training), batch 69 (has 64 graphs). Loss so far: 1.0480
Runing epoch 3 (training), batch 70 (has 64 graphs). Loss so far: 1.0478
Runing epoch 3 (training), batch 71 (has 64 graphs). Loss so far: 1.0474
Runing epoch 3 (training), batch 72 (has 64 graphs). Loss so far: 1.0476
Runing epoch 3 (training), batch 73 (has 64 graphs). Loss so far: 1.0483
Runing epoch 3 (training), batch 74 (has 64 graphs). Loss so far: 1.0488
Runing epoch 3 (training), batch 75 (has 64 graphs). Loss so far: 1.0473
Runing epoch 3 (training), batch 76 (has 64 graphs). Loss so far: 1.0474
Runing epoch 3 (training), batch 77 (has 64 graphs). Loss so far: 1.0472
Runing epoch 3 (training), batch 78 (has 64 graphs). Loss so far: 1.0485
Runing epoch 3 (training), batch 79 (has 64 graphs). Loss so far: 1.0476
Runing epoch 3 (training), batch 80 (has 64 graphs). Loss so far: 1.0480
Runing epoch 3 (training), batch 81 (has 64 graphs). Loss so far: 1.0471
Runing epoch 3 (training), batch 82 (has 64 graphs). Loss so far: 1.0483
Runing epoch 3 (training), batch 83 (has 64 graphs). Loss so far: 1.0479
Runing epoch 3 (training), batch 84 (has 64 graphs). Loss so far: 1.0498
Runing epoch 3 (training), batch 85 (has 64 graphs). Loss so far: 1.0499
Runing epoch 3 (training), batch 86 (has 64 graphs). Loss so far: 1.0502
Runing epoch 3 (training), batch 87 (has 64 graphs). Loss so far: 1.0501
Runing epoch 3 (training), batch 88 (has 64 graphs). Loss so far: 1.0485
Runing epoch 3 (training), batch 89 (has 64 graphs). Loss so far: 1.0478
Runing epoch 3 (training), batch 90 (has 64 graphs). Loss so far: 1.0468
Runing epoch 3 (training), batch 91 (has 64 graphs). Loss so far: 1.0483
Runing epoch 3 (training), batch 92 (has 64 graphs). Loss so far: 1.0487
Runing epoch 3 (training), batch 93 (has 64 graphs). Loss so far: 1.0491
Runing epoch 3 (training), batch 94 (has 64 graphs). Loss so far: 1.0492
Runing epoch 3 (training), batch 95 (has 64 graphs). Loss so far: 1.0489
Runing epoch 3 (training), batch 96 (has 64 graphs). Loss so far: 1.0498
Runing epoch 3 (training), batch 97 (has 64 graphs). Loss so far: 1.0484
Runing epoch 3 (training), batch 98 (has 64 graphs). Loss so far: 1.0466
Runing epoch 3 (training), batch 99 (has 64 graphs). Loss so far: 1.0465
Runing epoch 3 (training), batch 100 (has 64 graphs). Loss so far: 1.0434
Runing epoch 3 (training), batch 101 (has 64 graphs). Loss so far: 1.0437
Runing epoch 3 (training), batch 102 (has 64 graphs). Loss so far: 1.0421
Runing epoch 3 (training), batch 103 (has 64 graphs). Loss so far: 1.0407
Runing epoch 3 (training), batch 104 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 105 (has 64 graphs). Loss so far: 1.0382
Runing epoch 3 (training), batch 106 (has 64 graphs). Loss so far: 1.0390
Runing epoch 3 (training), batch 107 (has 64 graphs). Loss so far: 1.0375
Runing epoch 3 (training), batch 108 (has 64 graphs). Loss so far: 1.0312
Runing epoch 3 (training), batch 109 (has 64 graphs). Loss so far: 1.0247
Runing epoch 3 (training), batch 110 (has 64 graphs). Loss so far: 1.0216
Runing epoch 3 (training), batch 111 (has 64 graphs). Loss so far: 1.0182
Runing epoch 3 (training), batch 112 (has 64 graphs). Loss so far: 1.0107
Runing epoch 3 (training), batch 113 (has 64 graphs). Loss so far: 1.0283
Runing epoch 3 (training), batch 114 (has 64 graphs). Loss so far: 1.0356
Runing epoch 3 (training), batch 115 (has 64 graphs). Loss so far: 1.0340
Runing epoch 3 (training), batch 116 (has 64 graphs). Loss so far: 1.0344
Runing epoch 3 (training), batch 117 (has 64 graphs). Loss so far: 1.0374
Runing epoch 3 (training), batch 118 (has 64 graphs). Loss so far: 1.0380
Runing epoch 3 (training), batch 119 (has 64 graphs). Loss so far: 1.0333
Runing epoch 3 (training), batch 120 (has 64 graphs). Loss so far: 1.0412
Runing epoch 3 (training), batch 121 (has 64 graphs). Loss so far: 1.0393
Runing epoch 3 (training), batch 122 (has 64 graphs). Loss so far: 1.0388
Runing epoch 3 (training), batch 123 (has 64 graphs). Loss so far: 1.0382
Runing epoch 3 (training), batch 124 (has 64 graphs). Loss so far: 1.0428
Runing epoch 3 (training), batch 125 (has 64 graphs). Loss so far: 1.0416
Runing epoch 3 (training), batch 126 (has 64 graphs). Loss so far: 1.0407
Runing epoch 3 (training), batch 127 (has 64 graphs). Loss so far: 1.0404
Runing epoch 3 (training), batch 128 (has 64 graphs). Loss so far: 1.0422
Runing epoch 3 (training), batch 129 (has 64 graphs). Loss so far: 1.0414
Runing epoch 3 (training), batch 130 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 131 (has 64 graphs). Loss so far: 1.0418
Runing epoch 3 (training), batch 132 (has 64 graphs). Loss so far: 1.0422
Runing epoch 3 (training), batch 133 (has 64 graphs). Loss so far: 1.0419
Runing epoch 3 (training), batch 134 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 135 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 136 (has 64 graphs). Loss so far: 1.0419
Runing epoch 3 (training), batch 137 (has 64 graphs). Loss so far: 1.0410
Runing epoch 3 (training), batch 138 (has 64 graphs). Loss so far: 1.0413
Runing epoch 3 (training), batch 139 (has 64 graphs). Loss so far: 1.0409
Runing epoch 3 (training), batch 140 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 141 (has 64 graphs). Loss so far: 1.0416
Runing epoch 3 (training), batch 142 (has 64 graphs). Loss so far: 1.0418
Runing epoch 3 (training), batch 143 (has 64 graphs). Loss so far: 1.0415
Runing epoch 3 (training), batch 144 (has 64 graphs). Loss so far: 1.0410
Runing epoch 3 (training), batch 145 (has 64 graphs). Loss so far: 1.0416
Runing epoch 3 (training), batch 146 (has 64 graphs). Loss so far: 1.0413
Runing epoch 3 (training), batch 147 (has 64 graphs). Loss so far: 1.0417
Runing epoch 3 (training), batch 148 (has 64 graphs). Loss so far: 1.0420
Runing epoch 3 (training), batch 149 (has 64 graphs). Loss so far: 1.0425
Runing epoch 3 (training), batch 150 (has 64 graphs). Loss so far: 1.0427
Runing epoch 3 (training), batch 151 (has 64 graphs). Loss so far: 1.0428
Runing epoch 3 (training), batch 152 (has 64 graphs). Loss so far: 1.0427
Runing epoch 3 (training), batch 153 (has 42 graphs). Loss so far: 1.0429

[K Train: loss: 1.04290 || Top1 0.417 Top2 0.843 Top3 0.935 Top4 0.982 Top5 1.000 || graphs/sec: 30.12 | nodes/sec: 1506 | graphs: 9770 | nodes: 488500 | lr: 0.001000
Runing epoch 3 (validation), batch 1 (has 64 graphs). Loss so far: 1.0592
Runing epoch 3 (validation), batch 2 (has 64 graphs). Loss so far: 1.0224
Runing epoch 3 (validation), batch 3 (has 64 graphs). Loss so far: 1.0398
Runing epoch 3 (validation), batch 4 (has 64 graphs). Loss so far: 1.0299
